day eternity:600 replacement_initial_a:0.06 replacement_final_a:0 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0.045 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
1;4,98E+00;0.99995;8,31E+00;4,98E+00;0;0;0;4,98E+00;4,98E+00;0
2;9,67E-01;0.999856;0.000161133;9,67E-01;0;0;0;9,67E-01;9,67E-01;0
3;0.000140686;0.999724;0.000234524;0.000140686;0;0;0;0.000140686;0.000140686;0
4;0.000115678;0.999625;0.000192857;0.000115678;0;0;0;0.000140686;0.000140686;0
5;0.000115508;0.999532;0.000192592;0.000115508;0;0;0;0.000140686;0.000140686;0
6;0.000137271;0.999423;0.0002289;0.000137271;0;0;0;0.000140686;0.000140686;0
7;0.000166017;0.999292;0.000276867;0.000166017;0;0;0;0.000166017;0.000166017;0
8;0.000173572;0.999161;0.000289504;0.000173572;0;0;0;0.000173572;0.000173572;0
9;0.000173305;0.999038;0.000289094;0.000173305;0;0;0;0.000173572;0.000173572;0
10;0.000197705;0.998898;0.000329837;0.000197705;0;0;0;0.000197705;0.000197705;0
11;0.00022446;0.998739;0.000374528;0.00022446;0;0;0;0.00022446;0.00022446;0
12;0.000240468;0.998575;0.000401302;0.000240468;0;0;0;0.000240468;0.000240468;0
13;0.000255768;0.998404;0.000426904;0.000255768;0;0;0;0.000255768;0.000255768;0
14;0.000280329;0.99822;0.00046798;0.000280329;0;0;0;0.000280329;0.000280329;0
15;0.000311475;0.998015;0.000520072;0.000311475;0;0;0;0.000311475;0.000311475;0
16;0.000338262;0.997796;0.000564914;0.000338262;0;0;0;0.000338262;0.000338262;0
17;0.000364585;0.997564;0.000609008;0.000364585;0;0;0;0.000364585;0.000364585;0
18;0.00039818;0.997312;0.000665282;0.00039818;0;0;0;0.00039818;0.00039818;0
19;0.000436726;0.997036;0.000729873;0.000436726;0;0;0;0.000436726;0.000436726;0
20;0.000475867;0.996738;0.000795508;0.000475867;0;0;0;0.000475867;0.000475867;0
21;0.000516457;0.996417;0.000863622;0.000516457;0;0;0;0.000516457;0.000516457;0
