day eternity:600 replacement_initial_a:0.06 replacement_final_a:0 number_of_contact_events_per_day:20 pre_active_state_duration_1:3 pre_active_state_duration_2:3 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.12 transmission_probability_2_a:0 days before configuration switch: 0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
1;0;1;0;0;0;0;0;0;0;0
2;0.000187363;0.999813;7,81E+00;0.000187363;0;0;0;0.000187363;0.000187363;0
3;0.00036339;0.99946;0.000151465;0.00036339;0;0;0;0.00036339;0.00036339;0
4;0.000528684;0.998964;0.000220452;0.000528684;0;0;0;0.000528684;0.000528684;0
5;0.000496739;0.99853;0.000207225;0.000496739;0;0;0;0.000528684;0.000528684;0
6;0.00067114;0.997947;0.000280118;0.00067114;0;0;0;0.00067114;0.00067114;0
7;0.00116367;0.996906;0.000486071;0.00116367;0;0;0;0.00116367;0.00116367;0
8;0.0019335;0.995158;0.000808719;0.0019335;0;0;0;0.0019335;0.0019335;0
9;0.00273913;0.99271;0.00114802;0.00273913;0;0;0;0.00273913;0.00273913;0
10;0.00354291;0.989604;0.00148892;0.00354291;0;0;0;0.00354291;0.00354291;0
11;0.00494716;0.985281;0.00208661;0.00494716;0;0;0;0.00494716;0.00494716;0
12;0.00742569;0.978738;0.00314872;0.00742569;0;0;0;0.00742569;0.00742569;0
13;0.0112179;0.968796;0.00479558;0.0112179;0;0;0;0.0112179;0.0112179;0
14;0.0158679;0.9548;0.00686486;0.0158679;0;0;0;0.0158679;0.0158679;0
15;0.0218351;0.935677;0.00960612;0.0218351;0;0;0;0.0218351;0.0218351;0
16;0.0303022;0.909234;0.0136488;0.0303022;0;0;0;0.0303022;0.0303022;0
17;0.042747;0.871933;0.0199185;0.042747;0;0;0;0.042747;0.042747;0
18;0.0591453;0.820472;0.0289526;0.0591453;0;0;0;0.0591453;0.0591453;0
19;0.0785313;0.752712;0.0412475;0.0785313;0;0;0;0.0785313;0.0785313;0
20;0.099911;0.667639;0.0579046;0.099911;0;0;0;0.099911;0.099911;0
21;0.121969;0.565612;0.0809669;0.121969;0;0;0;0.121969;0.121969;0
22;0.140957;0.450718;0.112614;0.140957;0;0;0;0.140957;0.140957;0
23;0.15049;0.333184;0.15386;0.15049;0;0;0;0.15049;0.15049;0
24;0.145954;0.227239;0.204163;0.145954;0;0;0;0.15049;0.15049;0
25;0.128847;0.144758;0.261083;0.128847;0;0;0;0.15049;0.15049;0
26;0.106342;0.0897299;0.319417;0.106342;0;0;0;0.15049;0.15049;0
27;0.0861274;0.0582187;0.369877;0.0861274;0;0;0;0.15049;0.15049;0
28;0.0719107;0.0428148;0.400735;0.0719107;0;0;0;0.15049;0.15049;0
29;0.0630422;0.0372037;0.40294;0.0630422;0;0;0;0.15049;0.15049;0
30;0.0572391;0.0377324;0.375867;0.0572391;0;0;0;0.15049;0.15049;0
31;0.052793;0.0426755;0.328825;0.052793;0;0;0;0.15049;0.15049;0
32;0.0491045;0.0510104;0.27627;0.0491045;0;0;0;0.15049;0.15049;0
33;0.0463299;0.0616199;0.230373;0.0463299;0;0;0;0.15049;0.15049;0
34;0.0447382;0.0731845;0.196417;0.0447382;0;0;0;0.15049;0.15049;0
35;0.0442062;0.0845872;0.173349;0.0442062;0;0;0;0.15049;0.15049;0
36;0.0442482;0.0952638;0.157452;0.0442482;0;0;0;0.15049;0.15049;0
37;0.0444676;0.10508;0.145749;0.0444676;0;0;0;0.15049;0.15049;0
38;0.0448145;0.113961;0.137042;0.0448145;0;0;0;0.15049;0.15049;0
39;0.045435;0.121688;0.131152;0.045435;0;0;0;0.15049;0.15049;0
40;0.0463981;0.127989;0.127897;0.0463981;0;0;0;0.15049;0.15049;0
41;0.0475872;0.132722;0.1267;0.0475872;0;0;0;0.15049;0.15049;0
42;0.0487999;0.135959;0.126816;0.0487999;0;0;0;0.15049;0.15049;0
43;0.0499123;0.137889;0.127734;0.0499123;0;0;0;0.15049;0.15049;0
