day eternity:600 replacement_initial_a:0.12 replacement_final_a:0 number_of_contact_events_per_day:20 pre_active_state_duration_1:3 pre_active_state_duration_2:3 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0 days before configuration switch: 0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
1;0;1;0;0;0;0;0;0;0;0
2;3,60E+00;0.999964;6,00E+00;3,60E+00;0;0;0;3,60E+00;3,60E+00;0
3;6,76E+00;0.999901;0.000112743;6,76E+00;0;0;0;6,76E+00;6,76E+00;0
4;9,55E+00;0.999817;0.000159183;9,55E+00;0;0;0;9,55E+00;9,55E+00;0
5;8,40E+00;0.999755;0.000140081;8,40E+00;0;0;0;9,55E+00;9,55E+00;0
6;6,53E+00;0.999719;0.000108886;6,53E+00;0;0;0;9,55E+00;9,55E+00;0
7;6,02E+00;0.999693;0.00010042;6,02E+00;0;0;0;9,55E+00;9,55E+00;0
8;6,58E+00;0.999664;0.000109675;6,58E+00;0;0;0;9,55E+00;9,55E+00;0
9;8,81E-01;0.999616;0.000146908;8,81E-01;0;0;0;9,55E+00;9,55E+00;0
10;9,33E+00;0.999569;0.000155508;9,33E+00;0;0;0;9,55E+00;9,55E+00;0
11;8,91E+00;0.999531;0.000148644;8,91E+00;0;0;0;9,55E+00;9,55E+00;0
12;8,15E+00;0.999506;0.000135914;8,15E+00;0;0;0;9,55E+00;9,55E+00;0
13;8,53E+00;0.99948;0.000142226;8,53E+00;0;0;0;9,55E+00;9,55E+00;0
14;9,45E+00;0.999448;0.000157602;9,45E+00;0;0;0;9,55E+00;9,55E+00;0
15;0.000102239;0.999412;0.000170489;0.000102239;0;0;0;0.000102239;0.000102239;0
16;0.000105093;0.999377;0.000175254;0.000105093;0;0;0;0.000105093;0.000105093;0
17;0.000104149;0.999348;0.000173685;0.000104149;0;0;0;0.000105093;0.000105093;0
18;0.000105522;0.999321;0.000175979;0.000105522;0;0;0;0.000105522;0.000105522;0
19;0.000110396;0.999292;0.000184113;0.000110396;0;0;0;0.000110396;0.000110396;0
20;0.000117357;0.999259;0.000195729;0.000117357;0;0;0;0.000117357;0.000117357;0
21;0.000122327;0.999226;0.000204024;0.000122327;0;0;0;0.000122327;0.000122327;0
22;0.000125206;0.999194;0.000208831;0.000125206;0;0;0;0.000125206;0.000125206;0
23;0.000127826;0.999163;0.000213207;0.000127826;0;0;0;0.000127826;0.000127826;0
24;0.000132018;0.999131;0.000220206;0.000132018;0;0;0;0.000132018;0.000132018;0
25;0.000137697;0.999098;0.000229685;0.000137697;0;0;0;0.000137697;0.000137697;0
26;0.000143432;0.999062;0.000239259;0.000143432;0;0;0;0.000143432;0.000143432;0
27;0.000148368;0.999027;0.000247502;0.000148368;0;0;0;0.000148368;0.000148368;0
28;0.000152718;0.998991;0.000254767;0.000152718;0;0;0;0.000152718;0.000152718;0
29;0.000157515;0.998954;0.000262778;0.000157515;0;0;0;0.000157515;0.000157515;0
30;0.000163176;0.998917;0.000272231;0.000163176;0;0;0;0.000163176;0.000163176;0
31;0.000169366;0.998877;0.000282569;0.000169366;0;0;0;0.000169366;0.000169366;0
32;0.000175472;0.998837;0.000292766;0.000175472;0;0;0;0.000175472;0.000175472;0
33;0.000181343;0.998795;0.000302575;0.000181343;0;0;0;0.000181343;0.000181343;0
34;0.000187308;0.998752;0.000312539;0.000187308;0;0;0;0.000187308;0.000187308;0
35;0.000193715;0.998708;0.000323244;0.000193715;0;0;0;0.000193715;0.000193715;0
36;0.000200609;0.998663;0.000334761;0.000200609;0;0;0;0.000200609;0.000200609;0
37;0.00020775;0.998615;0.000346693;0.00020775;0;0;0;0.00020775;0.00020775;0
38;0.000214956;0.998567;0.000358734;0.000214956;0;0;0;0.000214956;0.000214956;0
39;0.000222263;0.998516;0.000370946;0.000222263;0;0;0;0.000222263;0.000222263;0
40;0.000229853;0.998464;0.000383631;0.000229853;0;0;0;0.000229853;0.000229853;0
41;0.00023783;0.998411;0.000396965;0.00023783;0;0;0;0.00023783;0.00023783;0
42;0.000246151;0.998355;0.000410875;0.000246151;0;0;0;0.000246151;0.000246151;0
43;0.000254716;0.998298;0.000425194;0.000254716;0;0;0;0.000254716;0.000254716;0
44;0.000263491;0.998239;0.000439866;0.000263491;0;0;0;0.000263491;0.000263491;0
45;0.000272538;0.998178;0.000454994;0.000272538;0;0;0;0.000272538;0.000272538;0
46;0.000281932;0.998114;0.000470705;0.000281932;0;0;0;0.000281932;0.000281932;0
47;0.000291698;0.998049;0.000487039;0.000291698;0;0;0;0.000291698;0.000291698;0
48;0.000301805;0.997981;0.000503946;0.000301805;0;0;0;0.000301805;0.000301805;0
49;0.000312226;0.997911;0.00052138;0.000312226;0;0;0;0.000312226;0.000312226;0
50;0.000322973;0.997839;0.000539363;0.000322973;0;0;0;0.000322973;0.000322973;0
51;0.000334089;0.997764;0.000557965;0.000334089;0;0;0;0.000334089;0.000334089;0
52;0.000345605;0.997687;0.000577239;0.000345605;0;0;0;0.000345605;0.000345605;0
53;0.000357528;0.997607;0.000597197;0.000357528;0;0;0;0.000357528;0.000357528;0
54;0.00036985;0.997524;0.000617826;0.00036985;0;0;0;0.00036985;0.00036985;0
