day eternity:600 replacement_initial_a:0.12 replacement_final_a:0 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:3 pre_active_state_duration_2:0 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.12 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
1;0;1;0;0;0;0;0;0;0;0
2;0.000143917;0.999856;6,00E+00;0.000143917;0;0;0;0.000143917;0.000143917;0
3;0.000270514;0.999603;0.000112743;0.000270514;0;0;0;0.000270514;0.000270514;0
4;0.000381837;0.999269;0.000159183;0.000381837;0;0;0;0.000381837;0.000381837;0
5;0.000335925;0.99902;0.000140081;0.000335925;0;0;0;0.000381837;0.000381837;0
6;0.000416233;0.998722;0.000173614;0.000416233;0;0;0;0.000416233;0.000416233;0
7;0.000668737;0.998206;0.000279043;0.000668737;0;0;0;0.000668737;0.000668737;0
8;0.00105041;0.997371;0.00043858;0.00105041;0;0;0;0.00105041;0.00105041;0
9;0.00140556;0.996281;0.000587403;0.00140556;0;0;0;0.00140556;0.00140556;0
10;0.00170844;0.995019;0.00071477;0.00170844;0;0;0;0.00170844;0.00170844;0
11;0.00222642;0.99339;0.00093275;0.00222642;0;0;0;0.00222642;0.00222642;0
12;0.00312919;0.991054;0.00131342;0.00312919;0;0;0;0.00312919;0.00312919;0
13;0.00446195;0.987666;0.00187791;0.00446195;0;0;0;0.00446195;0.00446195;0
14;0.0059827;0.983163;0.00252741;0.0059827;0;0;0;0.0059827;0.0059827;0
15;0.00781748;0.977366;0.0033188;0.00781748;0;0;0;0.00781748;0.00781748;0
16;0.010343;0.969739;0.00441934;0.010343;0;0;0;0.010343;0.010343;0
17;0.0140578;0.959313;0.00605934;0.0140578;0;0;0;0.0140578;0.0140578;0
18;0.0190388;0.945156;0.0083056;0.0190388;0;0;0;0.0190388;0.0190388;0
19;0.0252505;0.926487;0.0111963;0.0252505;0;0;0;0.0252505;0.0252505;0
20;0.0329497;0.902359;0.01493;0.0329497;0;0;0;0.0329497;0.0329497;0
21;0.0428144;0.871261;0.0199642;0.0428144;0;0;0;0.0428144;0.0428144;0
22;0.0553927;0.831317;0.0268344;0.0553927;0;0;0;0.0553927;0.0553927;0
23;0.0705294;0.78103;0.0359454;0.0705294;0;0;0;0.0705294;0.0705294;0
24;0.0875148;0.719792;0.0476721;0.0875148;0;0;0;0.0875148;0.0875148;0
25;0.105423;0.647993;0.0625714;0.105423;0;0;0;0.105423;0.105423;0
26;0.123082;0.567152;0.0814345;0.123082;0;0;0;0.123082;0.123082;0
27;0.138533;0.48056;0.104878;0.138533;0;0;0;0.138533;0.138533;0
28;0.149298;0.393595;0.132925;0.149298;0;0;0;0.149298;0.149298;0
29;0.153587;0.312776;0.164798;0.153587;0;0;0;0.153587;0.153587;0
30;0.15145;0.243793;0.198913;0.15145;0;0;0;0.153587;0.153587;0
31;0.144697;0.189841;0.232756;0.144697;0;0;0;0.153587;0.153587;0
32;0.135861;0.151199;0.262886;0.135861;0;0;0;0.153587;0.153587;0
33;0.127051;0.126004;0.285531;0.127051;0;0;0;0.153587;0.153587;0
34;0.119382;0.111502;0.297827;0.119382;0;0;0;0.153587;0.153587;0
35;0.113101;0.105021;0.29904;0.113101;0;0;0;0.153587;0.153587;0
36;0.108061;0.104358;0.290938;0.108061;0;0;0;0.153587;0.153587;0
37;0.104092;0.107744;0.276982;0.104092;0;0;0;0.153587;0.153587;0
38;0.101101;0.113713;0.26087;0.101101;0;0;0;0.153587;0.153587;0
39;0.0990126;0.121055;0.245353;0.0990126;0;0;0;0.153587;0.153587;0
40;0.0976933;0.128835;0.231854;0.0976933;0;0;0;0.153587;0.153587;0
41;0.0969641;0.136411;0.220763;0.0969641;0;0;0;0.153587;0.153587;0
42;0.0966602;0.143381;0.211968;0.0966602;0;0;0;0.153587;0.153587;0
43;0.0966726;0.149503;0.205234;0.0966726;0;0;0;0.153587;0.153587;0
44;0.0969339;0.154629;0.20033;0.0969339;0;0;0;0.153587;0.153587;0
45;0.0973797;0.158693;0.197004;0.0973797;0;0;0;0.153587;0.153587;0
