day eternity:600 replacement_initial_a:0.015 replacement_final_a:0.01 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:3 pre_active_state_duration_2:0 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
1;0;0.6;0;0;0;0;0;0;0;0
2;3,25E+00;0.599967;9,04E+00;3,25E+00;0;0;0;3,25E+00;3,25E+00;0
3;6,42E+00;0.599904;0.000178478;6,42E+00;0;0;0;6,42E+00;6,42E+00;0
4;9,52E+00;0.599811;0.000264385;9,52E+00;0;0;0;9,52E+00;9,52E+00;0
5;9,28E+00;0.599723;0.000257776;9,28E+00;0;0;0;9,52E+00;9,52E+00;0
6;7,16E-01;0.599659;0.000199065;7,16E-01;0;0;0;9,52E+00;9,52E+00;0
7;6,13E+00;0.599606;0.000170481;6,13E+00;0;0;0;9,52E+00;9,52E+00;0
8;6,14E+00;0.599554;0.000170546;6,14E+00;0;0;0;9,52E+00;9,52E+00;0
9;9,00E+00;0.599475;0.000250112;9,00E+00;0;0;0;9,52E+00;9,52E+00;0
10;0.000101432;0.599387;0.00028202;0.000101432;0;0;0;0.000101432;0.000101432;0
11;9,99E+00;0.599302;0.000277932;9,99E+00;0;0;0;0.000101432;0.000101432;0
12;8,94E+00;0.59923;0.000248719;8,94E+00;0;0;0;0.000101432;0.000101432;0
13;8,92E+00;0.599161;0.000248048;8,92E+00;0;0;0;0.000101432;0.000101432;0
14;9,89E-01;0.599083;0.000275016;9,89E-01;0;0;0;0.000101432;0.000101432;0
15;0.000110839;0.598995;0.000308372;0.000110839;0;0;0;0.000110839;0.000110839;0
16;0.000119089;0.598901;0.000331376;0.000119089;0;0;0;0.000119089;0.000119089;0
17;0.000118652;0.59881;0.000330209;0.000118652;0;0;0;0.000119089;0.000119089;0
18;0.000118006;0.598721;0.00032846;0.000118006;0;0;0;0.000119089;0.000119089;0
19;0.000121699;0.598632;0.000338789;0.000121699;0;0;0;0.000121699;0.000121699;0
20;0.00013106;0.598535;0.000364905;0.00013106;0;0;0;0.00013106;0.00013106;0
21;0.000140114;0.598431;0.000390178;0.000140114;0;0;0;0.000140114;0.000140114;0
22;0.000145888;0.598325;0.000406327;0.000145888;0;0;0;0.000145888;0.000145888;0
23;0.000149202;0.598217;0.00041563;0.000149202;0;0;0;0.000149202;0.000149202;0
24;0.000153049;0.598109;0.000426422;0.000153049;0;0;0;0.000153049;0.000153049;0
25;0.000159861;0.597996;0.000445484;0.000159861;0;0;0;0.000159861;0.000159861;0
26;0.00016856;0.597878;0.000469814;0.00016856;0;0;0;0.00016856;0.00016856;0
27;0.000177028;0.597754;0.000493515;0.000177028;0;0;0;0.000177028;0.000177028;0
28;0.000183784;0.597626;0.000512455;0.000183784;0;0;0;0.000183784;0.000183784;0
29;0.000189922;0.597496;0.000529684;0.000189922;0;0;0;0.000189922;0.000189922;0
30;0.00019703;0.597361;0.000549628;0.00019703;0;0;0;0.00019703;0.00019703;0
31;0.000205727;0.597221;0.000574019;0.000205727;0;0;0;0.000205727;0.000205727;0
32;0.000215262;0.597076;0.000600764;0.000215262;0;0;0;0.000215262;0.000215262;0
33;0.000224544;0.596924;0.000626825;0.000224544;0;0;0;0.000224544;0.000224544;0
34;0.000233343;0.596768;0.000651553;0.000233343;0;0;0;0.000233343;0.000233343;0
35;0.000242252;0.596606;0.000676607;0.000242252;0;0;0;0.000242252;0.000242252;0
36;0.00025204;0.596439;0.000704134;0.00025204;0;0;0;0.00025204;0.00025204;0
37;0.000262781;0.596265;0.000734349;0.000262781;0;0;0;0.000262781;0.000262781;0
38;0.00027401;0.596085;0.000765955;0.00027401;0;0;0;0.00027401;0.00027401;0
39;0.000285287;0.595897;0.000797719;0.000285287;0;0;0;0.000285287;0.000285287;0
40;0.000296647;0.595703;0.000829747;0.000296647;0;0;0;0.000296647;0.000296647;0
41;0.000308471;0.595502;0.000863101;0.000308471;0;0;0;0.000308471;0.000308471;0
42;0.000321043;0.595294;0.000898583;0.000321043;0;0;0;0.000321043;0.000321043;0
43;0.000334327;0.595077;0.000936093;0.000334327;0;0;0;0.000334327;0.000334327;0
44;0.000348073;0.594852;0.000974938;0.000348073;0;0;0;0.000348073;0.000348073;0
45;0.000362141;0.594618;0.00101473;0.000362141;0;0;0;0.000362141;0.000362141;0
46;0.000376619;0.594376;0.00105571;0.000376619;0;0;0;0.000376619;0.000376619;0
47;0.000391711;0.594125;0.00109846;0.000391711;0;0;0;0.000391711;0.000391711;0
48;0.000407524;0.593865;0.00114329;0.000407524;0;0;0;0.000407524;0.000407524;0
